Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.0001,0.1411,0.0,-0.0019
0.005,-0.0001,0.1413,-0.0001,-0.0018
0.01,0.0,0.1416,0.0,-0.0017
0.015,0.0,0.1415,-0.0001,-0.0019
0.02,0.0,0.1413,-0.0001,-0.0019
0.025,0.0,0.1407,-0.0001,-0.0017
0.03,0.0,0.1402,-0.0001,-0.0018
0.035,0.0001,0.14,0.0,-0.0019
0.04,-0.0001,0.1397,-0.0001,-0.0017
0.045,0.0002,0.1396,0.0001,-0.0017
0.05,0.0,0.1393,-0.0001,-0.0019
0.055,0.0003,0.1392,0.0003,-0.0018
0.06,0.0002,0.1387,0.0001,-0.0017
0.065,0.0004,0.1387,0.0004,-0.0019
0.07,0.0005,0.1384,0.0004,-0.0019
0.075,0.0007,0.1387,0.0007,-0.0017
0.08,0.0013,0.1399,0.0012,-0.0018
0.085,0.002,0.1428,0.0019,-0.0019
0.09,0.0026,0.1475,0.0025,-0.0017
0.095,0.003,0.1544,0.003,-0.0017
0.1,0.0036,0.163,0.0035,-0.0019
0.105,0.0042,0.1732,0.0042,-0.0018
0.11,0.0051,0.1848,0.0051,-0.0017
0.115,0.0062,0.1985,0.0061,-0.0019
0.12,0.0074,0.2144,0.0073,-0.0019
0.125,0.0088,0.2331,0.0087,-0.0017
0.13,0.0104,0.2551,0.0103,-0.0018
0.135,0.0121,0.2806,0.012,-0.0019
0.14,0.0138,0.3098,0.0137,-0.0017
0.145,0.0155,0.3426,0.0154,-0.0017
0.15,0.0171,0.3783,0.017,-0.0019
0.155,0.0185,0.4164,0.0184,-0.0018
0.16,0.0198,0.4557,0.0197,-0.0017
0.165,0.021,0.4952,0.0209,-0.0019
0.17,0.022,0.5336,0.0219,-0.0019
0.175,0.023,0.5702,0.0229,-0.0017
0.18,0.0239,0.6044,0.0238,-0.0018
0.185,0.025,0.6363,0.0249,-0.0019
0.19,0.0261,0.6663,0.026,-0.0017
0.195,0.0273,0.6949,0.0272,-0.0017
0.2,0.0286,0.7231,0.0285,-0.0019
0.205,0.0299,0.7516,0.0299,-0.0018
0.21,0.0314,0.781,0.0313,-0.0017
0.215,0.0328,0.8121,0.0328,-0.0019
0.22,0.0343,0.8456,0.0343,-0.0019
0.225,0.0358,0.8819,0.0358,-0.0017
0.23,0.0374,0.9209,0.0373,-0.0018
0.235,0.0389,0.9629,0.0388,-0.0019
0.24,0.0405,1.008,0.0404,-0.0017
0.245,0.0421,1.0563,0.042,-0.0017
0.25,0.0438,1.1078,0.0437,-0.0019
0.255,0.0455,1.1628,0.0454,-0.0018
0.26,0.0473,1.2213,0.0472,-0.0017
0.265,0.0491,1.2835,0.049,-0.0019
0.27,0.0509,1.3492,0.0508,-0.0019
0.275,0.0526,1.4178,0.0525,-0.0017
