Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.2128,0.0296,-0.0001,-0.0017
0.005,0.2129,0.0295,0.0,-0.0018
0.01,0.2129,0.0294,-0.0001,-0.0019
0.015,0.2129,0.0296,0.0,-0.0017
0.02,0.2129,0.0296,0.0,-0.0017
0.025,0.2129,0.0297,-0.0001,-0.0019
0.03,0.2129,0.0299,0.0,-0.0018
0.035,0.2129,0.03,-0.0001,-0.0017
0.04,0.213,0.0303,0.0,-0.0019
0.045,0.2129,0.0305,0.0,-0.0019
0.05,0.2131,0.031,0.0002,-0.0017
0.055,0.2131,0.0312,0.0002,-0.0018
0.06,0.2133,0.0316,0.0004,-0.0019
0.065,0.2136,0.0322,0.0006,-0.0017
0.07,0.214,0.0339,0.0011,-0.0017
0.075,0.2147,0.0372,0.0018,-0.0019
0.08,0.2157,0.0431,0.0027,-0.0018
0.085,0.2169,0.0527,0.004,-0.0017
0.09,0.2184,0.0672,0.0054,-0.0019
0.095,0.22,0.0876,0.007,-0.0019
0.1,0.2216,0.1148,0.0087,-0.0017
0.105,0.2233,0.1485,0.0104,-0.0018
0.11,0.2249,0.1883,0.012,-0.0019
0.115,0.2266,0.2337,0.0137,-0.0017
0.12,0.2283,0.2837,0.0153,-0.0017
0.125,0.23,0.3378,0.0171,-0.0019
0.13,0.2317,0.3951,0.0188,-0.0018
0.135,0.2334,0.4554,0.0205,-0.0017
0.14,0.2351,0.5179,0.0222,-0.0019
0.145,0.2367,0.5814,0.0237,-0.0019
0.15,0.2381,0.6449,0.0251,-0.0017
0.155,0.2393,0.7072,0.0264,-0.0018
0.16,0.2406,0.7675,0.0277,-0.0019
0.165,0.2418,0.8251,0.0289,-0.0017
0.17,0.2431,0.8799,0.0301,-0.0017
0.175,0.2444,0.9317,0.0314,-0.0019
0.18,0.2457,0.9784,0.0328,-0.0018
0.185,0.2472,1.0148,0.0343,-0.0017
0.19,0.2487,1.0421,0.0358,-0.0019
0.195,0.2503,1.0644,0.0373,-0.0019
0.2,0.2518,1.0852,0.0388,-0.0017
0.205,0.2533,1.1068,0.0403,-0.0018
0.21,0.2548,1.1303,0.0418,-0.0019
0.215,0.2563,1.156,0.0433,-0.0017
0.22,0.2578,1.1842,0.0449,-0.0017
0.225,0.2594,1.2146,0.0465,-0.0019
0.23,0.261,1.2471,0.0481,-0.0018
0.235,0.2627,1.2815,0.0497,-0.0017
0.24,0.2644,1.3175,0.0514,-0.0019
0.245,0.2661,1.3549,0.0532,-0.0019
0.25,0.2678,1.3932,0.0548,-0.0017
0.255,0.2694,1.4316,0.0565,-0.0018
0.26,0.271,1.4696,0.058,-0.0019
0.265,0.2724,1.5065,0.0595,-0.0017
0.27,0.2739,1.542,0.0609,-0.0017
0.275,0.2753,1.5763,0.0624,-0.0019
0.28,0.2768,1.6095,0.0639,-0.0018
0.285,0.2783,1.642,0.0653,-0.0017
0.29,0.2798,1.6742,0.0669,-0.0019
0.295,0.2814,1.7066,0.0685,-0.0019
0.3,0.2831,1.7395,0.0702,-0.0017
0.305,0.2848,1.7729,0.0718,-0.0018
0.31,0.2864,1.8068,0.0735,-0.0019
0.315,0.2879,1.8406,0.075,-0.0017
0.32,0.2894,1.8739,0.0764,-0.0017
0.325,0.2907,1.9064,0.0778,-0.0019
0.33,0.2919,1.9375,0.079,-0.0018
0.335,0.293,1.9671,0.0801,-0.0017
0.34,0.2941,1.9951,0.0812,-0.0019
0.345,0.2953,2.0219,0.0824,-0.0019
0.35,0.2966,2.0481,0.0836,-0.0017
0.355,0.2979,2.0741,0.085,-0.0018
0.36,0.2993,2.1006,0.0864,-0.0019
0.365,0.3008,2.128,0.0878,-0.0017
0.37,0.3022,2.1565,0.0892,-0.0017
0.375,0.3036,2.1859,0.0906,-0.0019
0.38,0.305,2.2161,0.092,-0.0018
0.385,0.3063,2.2468,0.0934,-0.0017
0.39,0.3077,2.2777,0.0948,-0.0019
0.395,0.3092,2.3088,0.0962,-0.0019
0.4,0.3107,2.3402,0.0977,-0.0017
0.405,0.3122,2.372,0.0993,-0.0018
0.41,0.3138,2.4046,0.1009,-0.0019
0.415,0.3154,2.438,0.1025,-0.0017
0.42,0.317,2.4724,0.1041,-0.0017
0.425,0.3186,2.5076,0.1057,-0.0019
0.43,0.3202,2.5441,0.1073,-0.0018
0.435,0.3218,2.5825,0.1088,-0.0017
0.44,0.3233,2.6229,0.1103,-0.0019
0.445,0.3247,2.6657,0.1118,-0.0019
0.45,0.3261,2.7107,0.1132,-0.0017
0.455,0.3276,2.7577,0.1146,-0.0018
0.46,0.3291,2.8064,0.1161,-0.0019
0.465,0.3306,2.8571,0.1177,-0.0017
0.47,0.3322,2.9096,0.1193,-0.0017
0.475,0.3339,2.9641,0.121,-0.0019
0.48,0.3356,3.0207,0.1227,-0.0018
0.485,0.3374,3.0798,0.1245,-0.0017
0.49,0.3391,3.1414,0.1262,-0.0019
0.495,0.3407,3.2048,0.1278,-0.0019
0.5,0.3422,3.2688,0.1292,-0.0017
0.505,0.3435,3.3324,0.1306,-0.0018
0.51,0.3448,3.3943,0.1319,-0.0019
0.515,0.346,3.4539,0.1331,-0.0017
0.52,0.3473,3.5108,0.1343,-0.0017
0.525,0.3486,3.5653,0.1356,-0.0019
0.53,0.3499,3.618,0.137,-0.0018
0.535,0.3513,3.6696,0.1384,-0.0017
0.54,0.3528,3.7208,0.1399,-0.0019
0.545,0.3542,3.7719,0.1413,-0.0019
0.55,0.3556,3.8234,0.1427,-0.0017
0.555,0.357,3.8753,0.1441,-0.0018
0.56,0.3584,3.9276,0.1455,-0.0019
0.565,0.3599,3.9806,0.1469,-0.0017
0.57,0.3613,4.0341,0.1484,-0.0017
0.575,0.3628,4.0888,0.1499,-0.0019
0.58,0.3644,4.1446,0.1515,-0.0018
0.585,0.3661,4.2018,0.1532,-0.0017
0.59,0.3678,4.2608,0.1549,-0.0019
0.595,0.3695,4.3216,0.1566,-0.0019
0.6,0.3712,4.3843,0.1583,-0.0017
0.605,0.3729,4.4483,0.16,-0.0018
0.61,0.3745,4.5131,0.1615,-0.0019
0.615,0.3759,4.5777,0.163,-0.0017
0.62,0.3774,4.6413,0.1645,-0.0017
0.625,0.3789,4.7037,0.1659,-0.0019
0.63,0.3803,4.7645,0.1674,-0.0018
0.635,0.3818,4.8242,0.1689,-0.0017
0.64,0.3834,4.8832,0.1705,-0.0019
0.645,0.385,4.9422,0.1721,-0.0019
0.65,0.3867,5.0018,0.1738,-0.0017
0.655,0.3884,5.0624,0.1755,-0.0018
0.66,0.3901,5.1243,0.1772,-0.0019
0.665,0.3917,5.1873,0.1787,-0.0017
0.67,0.3931,5.2505,0.1802,-0.0017
0.675,0.3944,5.3128,0.1815,-0.0019
0.68,0.3956,5.3733,0.1826,-0.0018
0.685,0.3967,5.4311,0.1838,-0.0017
0.69,0.3978,5.4857,0.1849,-0.0019
