Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.1066","0.0132","0.0000","0.0000"
"0.0050","0.1066","0.0131","0.0000","0.0000"
"0.0100","0.1066","0.0130","0.0000","0.0000"
"0.0150","0.1066","0.0128","0.0000","0.0000"
"0.0200","0.1066","0.0127","0.0000","0.0000"
"0.0250","0.1066","0.0127","0.0000","0.0000"
"0.0300","0.1066","0.0128","0.0000","0.0000"
"0.0350","0.1066","0.0129","0.0000","0.0000"
"0.0400","0.1067","0.0131","0.0000","0.0000"
"0.0450","0.1067","0.0132","0.0001","0.0000"
"0.0500","0.1068","0.0132","0.0002","0.0000"
"0.0550","0.1070","0.0135","0.0004","0.0000"
"0.0600","0.1074","0.0139","0.0008","0.0000"
"0.0650","0.1080","0.0146","0.0013","0.0000"
"0.0700","0.1088","0.0158","0.0021","0.0000"
"0.0750","0.1099","0.0176","0.0032","0.0000"
"0.0800","0.1113","0.0201","0.0047","0.0000"
"0.0850","0.1130","0.0237","0.0064","0.0000"
"0.0900","0.1149","0.0296","0.0083","0.0000"
"0.0950","0.1169","0.0391","0.0102","0.0000"
"0.1000","0.1187","0.0531","0.0121","0.0000"
"0.1050","0.1204","0.0721","0.0138","0.0000"
"0.1100","0.1220","0.0957","0.0154","0.0000"
"0.1150","0.1234","0.1232","0.0167","0.0000"
"0.1200","0.1246","0.1532","0.0179","0.0000"
"0.1250","0.1257","0.1847","0.0191","0.0000"
"0.1300","0.1269","0.2166","0.0203","0.0000"
"0.1350","0.1282","0.2486","0.0216","0.0000"
"0.1400","0.1296","0.2803","0.0229","0.0000"
"0.1450","0.1310","0.3119","0.0243","0.0000"
"0.1500","0.1324","0.3435","0.0258","0.0000"
"0.1550","0.1339","0.3751","0.0272","0.0000"
"0.1600","0.1353","0.4070","0.0287","0.0000"
"0.1650","0.1368","0.4389","0.0301","0.0000"
"0.1700","0.1382","0.4706","0.0316","0.0000"
"0.1750","0.1397","0.5020","0.0331","0.0000"
"0.1800","0.1412","0.5331","0.0346","0.0000"
"0.1850","0.1428","0.5641","0.0362","0.0000"
"0.1900","0.1444","0.5952","0.0378","0.0000"
"0.1950","0.1460","0.6266","0.0394","0.0000"
