sync,time,vout
1.0,0.04843465,0.832
1.0,0.05081385,0.832
1.0,0.05355844,0.832
1.0,0.05630515,0.834
1.0,0.05903557,0.834
1.0,0.06728291,0.834
1.0,0.06766841,0.834
1.0,0.06814089,0.834
1.0,0.07005183,0.836
1.0,0.07279246,0.836
1.0,0.07814278,0.836
1.0,0.07854557,0.836
1.0,0.08104113,0.836
1.0,0.0838142,0.836
1.0,0.08692317,0.838
1.0,0.08926826,0.838
1.0,0.09201939,0.838
1.0,0.09483452,0.838
1.0,0.09750159,0.838
1.0,0.10031872,0.84
1.0,0.10310181,0.84
1.0,0.10575172,0.84
1.0,0.1085143,0.84
1.0,0.11127417,0.84
1.0,0.11396383,0.84
1.0,0.11671259,0.842
1.0,0.11954196,0.842
1.0,0.12220583,0.842
1.0,0.12495019,0.842
1.0,0.12770846,0.842
1.0,0.130542,0.842
1.0,0.13320639,0.844
1.0,0.13594685,0.844
1.0,0.13859174,0.844
1.0,0.14142341,0.844
1.0,0.14409268,0.844
1.0,0.14683868,0.844
1.0,0.14958389,0.844
1.0,0.1524278,0.844
1.0,0.15508233,0.846
1.0,0.15784265,0.846
1.0,0.16057991,0.846
1.0,0.16342857,0.846
1.0,0.16608004,0.846
1.0,0.16883878,0.846
1.0,0.17158409,0.848
1.0,0.17436135,0.848
1.0,0.177066,0.848
1.0,0.17981891,0.848
1.0,0.18256754,0.848
1.0,0.18534046,0.848
1.0,0.188061,0.848
1.0,0.19080863,0.85
1.0,0.19355609,0.85
1.0,0.19629033,0.85
1.0,0.19908887,0.85
1.0,0.20178172,0.85
1.0,0.20452893,0.85
1.0,0.20727118,0.85
1.0,0.21007269,0.852
1.0,0.21276326,0.852
1.0,0.21551344,0.852
1.0,0.21827554,0.852
1.0,0.22104515,0.852
1.0,0.22374548,0.854
1.0,0.22648539,0.854
1.0,0.2292325,0.854
1.0,0.2359585,0.854
1.0,0.23622081,0.854
1.0,0.23753104,0.856
1.0,0.2403505,0.856
1.0,0.24298241,0.856
1.0,0.24639315,0.856
1.0,0.249953,0.856
1.0,0.25270189,0.856
1.0,0.25557859,0.856
1.0,0.25762511,0.856
1.0,0.25946631,0.858
1.0,0.26219883,0.858
1.0,0.26493626,0.858
1.0,0.26766039,0.858
1.0,0.27044365,0.858
1.0,0.27315,0.858
1.0,0.27590017,0.86
1.0,0.27865394,0.86
1.0,0.28140178,0.86
1.0,0.28414009,0.86
1.0,0.28688548,0.86
1.0,0.28966598,0.862
1.0,0.29240302,0.862
1.0,0.29512794,0.862
1.0,0.29790218,0.862
1.0,0.30061633,0.862
1.0,0.30340574,0.862
1.0,0.30611939,0.864
1.0,0.30886578,0.864
1.0,0.31160933,0.864
1.0,0.31440972,0.864
1.0,0.31710752,0.864
1.0,0.31984168,0.864
1.0,0.32260767,0.864
1.0,0.32533139,0.866
1.0,0.32808318,0.866
1.0,0.33083489,0.866
1.0,0.33359196,0.866
1.0,0.33633302,0.866
1.0,0.3390843,0.866
1.0,0.34183391,0.866
1.0,0.34459535,0.866
1.0,0.34733461,0.866
1.0,0.35008461,0.868
1.0,0.35283374,0.868
1.0,0.35558361,0.868
1.0,0.35832167,0.868
1.0,0.36106707,0.868
1.0,0.36382378,0.868
1.0,0.36656106,0.87
1.0,0.36930272,0.87
1.0,0.37205311,0.87
1.0,0.37479389,0.87
1.0,0.37754044,0.87
1.0,0.3802777,0.872
1.0,0.38301511,0.872
1.0,0.385773,0.872
1.0,0.38851961,0.872
1.0,0.39126168,0.872
1.0,0.39400887,0.872
1.0,0.3967497,0.874
1.0,0.3994975,0.874
1.0,0.40222894,0.874
1.0,0.40498009,0.874
1.0,0.40775968,0.874
1.0,0.41048739,0.874
1.0,0.41322354,0.874
1.0,0.41597141,0.876
1.0,0.41871996,0.876
1.0,0.42146063,0.876
1.0,0.42420304,0.876
1.0,0.42695393,0.876
1.0,0.42969515,0.876
1.0,0.43245257,0.876
1.0,0.43519565,0.878
1.0,0.43794546,0.878
1.0,0.44068681,0.878
1.0,0.44343267,0.878
1.0,0.44617711,0.878
1.0,0.44892891,0.878
1.0,0.45167918,0.878
1.0,0.45447217,0.88
1.0,0.45716391,0.88
1.0,0.45990515,0.88
1.0,0.46265526,0.88
1.0,0.46543089,0.88
1.0,0.4682008,0.88
1.0,0.47089644,0.882
1.0,0.47364518,0.882
1.0,0.47643194,0.882
1.0,0.47913705,0.882
1.0,0.48188826,0.882
1.0,0.48467994,0.882
1.0,0.48809809,0.882
1.0,0.49017165,0.882
1.0,0.49304885,0.882
1.0,0.49565668,0.884
1.0,0.50003272,0.884
1.0,0.50128613,0.884
1.0,0.504182,0.884
1.0,0.50664022,0.884
1.0,0.50966354,0.884
1.0,0.51258322,0.884
1.0,0.51489494,0.884
1.0,0.51764967,0.886
1.0,0.52043746,0.886
1.0,0.52311402,0.886
1.0,0.52586187,0.886
1.0,0.5286105,0.886
1.0,0.53135072,0.886
1.0,0.5341047,0.888
1.0,0.53684515,0.888
1.0,0.53960737,0.888
1.0,0.54234189,0.888
1.0,0.54509702,0.888
1.0,0.54787439,0.888
1.0,0.55060802,0.888
1.0,0.55332854,0.89
1.0,0.5560772,0.89
1.0,0.55882002,0.89
1.0,0.56156944,0.89
1.0,0.5643032,0.89
1.0,0.56705441,0.89
1.0,0.56979467,0.89
1.0,0.57254109,0.892
1.0,0.57528515,0.892
1.0,0.57824574,0.892
1.0,0.58077991,0.894
1.0,0.58352511,0.894
1.0,0.58627935,0.894
1.0,0.58900846,0.894
1.0,0.59175348,0.896
1.0,0.59450444,0.896
1.0,0.59724739,0.896
1.0,0.59998957,0.896
1.0,0.60273005,0.896
