Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0750","0.0270","0.0000","-0.0003"
"0.0050","0.0750","0.0270","0.0000","-0.0003"
"0.0100","0.0750","0.0269","0.0000","-0.0003"
"0.0150","0.0750","0.0266","0.0000","-0.0003"
"0.0200","0.0750","0.0263","0.0000","-0.0003"
"0.0250","0.0750","0.0261","0.0000","-0.0003"
"0.0300","0.0750","0.0260","0.0000","-0.0003"
"0.0350","0.0750","0.0261","0.0000","-0.0003"
"0.0400","0.0750","0.0264","0.0000","-0.0003"
"0.0450","0.0751","0.0266","0.0001","-0.0003"
"0.0500","0.0752","0.0268","0.0002","-0.0003"
"0.0550","0.0754","0.0273","0.0004","-0.0003"
"0.0600","0.0759","0.0283","0.0008","-0.0003"
"0.0650","0.0765","0.0301","0.0014","-0.0003"
"0.0700","0.0772","0.0331","0.0022","-0.0003"
"0.0750","0.0782","0.0375","0.0031","-0.0003"
"0.0800","0.0793","0.0436","0.0043","-0.0003"
"0.0850","0.0806","0.0518","0.0056","-0.0003"
"0.0900","0.0821","0.0627","0.0071","-0.0003"
"0.0950","0.0837","0.0766","0.0086","-0.0003"
"0.1000","0.0853","0.0943","0.0103","-0.0003"
"0.1050","0.0870","0.1158","0.0120","-0.0003"
"0.1100","0.0887","0.1410","0.0136","-0.0003"
"0.1150","0.0902","0.1696","0.0152","-0.0003"
"0.1200","0.0919","0.2014","0.0168","-0.0003"
"0.1250","0.0935","0.2360","0.0184","-0.0003"
"0.1300","0.0951","0.2732","0.0201","-0.0003"
"0.1350","0.0968","0.3126","0.0218","-0.0003"
"0.1400","0.0987","0.3544","0.0236","-0.0003"
"0.1450","0.1005","0.3984","0.0255","-0.0003"
"0.1500","0.1025","0.4447","0.0275","-0.0003"
"0.1550","0.1045","0.4939","0.0294","-0.0003"
"0.1600","0.1065","0.5459","0.0314","-0.0003"
"0.1650","0.1084","0.6009","0.0334","-0.0003"
"0.1700","0.1102","0.6587","0.0352","-0.0003"
"0.1750","0.1119","0.7186","0.0368","-0.0003"
"0.1800","0.1135","0.7797","0.0385","-0.0003"
"0.1850","0.1150","0.8412","0.0400","-0.0003"
"0.1900","0.1165","0.9025","0.0415","-0.0003"
"0.1950","0.1180","0.9634","0.0430","-0.0003"
"0.2000","0.1196","1.0239","0.0445","-0.0003"
"0.2050","0.1211","1.0840","0.0461","-0.0003"
"0.2100","0.1226","1.1439","0.0476","-0.0003"
"0.2150","0.1240","1.2037","0.0490","-0.0003"
"0.2200","0.1254","1.2630","0.0503","-0.0003"
"0.2250","0.1266","1.3218","0.0516","-0.0003"
"0.2300","0.1277","1.3795","0.0527","-0.0003"
"0.2350","0.1288","1.4356","0.0537","-0.0003"
"0.2400","0.1298","1.4898","0.0548","-0.0003"
"0.2450","0.1308","1.5418","0.0558","-0.0003"
"0.2500","0.1319","1.5920","0.0569","-0.0003"
