swing_phase, Sync, time, data
0, 0, 0.06477832794189453, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.0693197250366211, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.07407164573669434, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.07929658889770508, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.08421063423156738, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.08925271034240723, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.0942373275756836, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.09925460815429688, 0.6420000195503235 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.10515904426574707, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.11041378974914551, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.11432766914367676, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42399999499320984
0, 0, 0.11927938461303711, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.12522244453430176, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.13985395431518555, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.1404590606689453, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.14518356323242188, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.15113186836242676, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.15970849990844727, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.16272306442260742, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.16513729095458984, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42399999499320984
0, 0, 0.17092061042785645, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.17414212226867676, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.1790463924407959, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.18443536758422852, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42399999499320984
0, 0, 0.189467191696167, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.19427132606506348, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.19904589653015137, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42399999499320984
0, 0, 0.20436954498291016, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.20915675163269043, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.21404004096984863, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.21902680397033691, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.22400641441345215, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.2293093204498291, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42399999499320984
0, 0, 0.23428702354431152, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.23927021026611328, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.41999998688697815
0, 0, 0.2442615032196045, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42399999499320984
0, 0, 0.2492384910583496, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.25424647331237793, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.421999990940094
0, 0, 0.25913429260253906, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42399999499320984
0, 0, 0.264263391494751, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4300000071525574
0, 0, 0.2692422866821289, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42800000309944153
0, 0, 0.2743532657623291, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4259999990463257
0, 0, 0.27925777435302734, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4300000071525574
0, 0, 0.2842733860015869, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4300000071525574
0, 0, 0.28936314582824707, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42800000309944153
0, 0, 0.2942085266113281, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4320000112056732
0, 0, 0.2992410659790039, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4320000112056732
0, 0, 0.30434179306030273, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.42800000309944153
0, 0, 0.30925917625427246, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4300000071525574
0, 0, 0.31421422958374023, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4320000112056732
0, 0, 0.3192253112792969, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4320000112056732
0, 0, 0.3242199420928955, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4320000112056732
0, 0, 0.3292419910430908, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.33425426483154297, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.33959531784057617, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4320000112056732
0, 0, 0.3440060615539551, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.3492124080657959, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.3542325496673584, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.35924768447875977, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.3639969825744629, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.369340181350708, 0.6420000195503235 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.37422919273376465, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.3792550563812256, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.3842310905456543, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.38924455642700195, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.39423084259033203, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.39925193786621094, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.4042396545410156, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.40924501419067383, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.41432785987854004, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.4192533493041992, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.4242894649505615, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.42899584770202637, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.4342677593231201, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.4392540454864502, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.44442009925842285, 0.6399999856948853 0.6259999871253967 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.44924211502075195, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.4542958736419678, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.45924925804138184, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.4642906188964844, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.4692509174346924, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.47429490089416504, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.4792516231536865, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.4842541217803955, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.48924779891967773, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.49454450607299805, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.4992489814758301, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.44200000166893005
0, 0, 0.5042507648468018, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5092477798461914, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.514251708984375, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.5192558765411377, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.524242639541626, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5292670726776123, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.5342423915863037, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.5392506122589111, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5440051555633545, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.5490093231201172, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.5542488098144531, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5590267181396484, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5642454624176025, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.5692586898803711, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5742168426513672, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5793375968933105, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.5842571258544922, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.5891392230987549, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.5940189361572266, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.5990273952484131, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.6042156219482422, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.6090142726898193, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.6140000820159912, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4399999976158142
0, 0, 0.6190106868743896, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.6240034103393555, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.6292345523834229, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.6342134475708008, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.6392138004302979, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.644017219543457, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.6492090225219727, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.6542882919311523, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.6591606140136719, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.6642754077911377, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.66900634765625, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.6743395328521729, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.6792149543762207, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.6840145587921143, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.6892380714416504, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.6942760944366455, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
0, 0, 0.6992146968841553, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.43799999356269836
0, 0, 0.7044246196746826, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4339999854564667
0, 0, 0.7092158794403076, 0.6399999856948853 0.6240000128746033 0.6240000128746033 0.6340000033378601 0.6240000128746033 0.4359999895095825
