swing_phase, Sync, time, data
0, 0, 0.06718873977661133, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.07155299186706543, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.0769186019897461, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.08153796195983887, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.08728599548339844, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.0915670394897461, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.09650754928588867, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.10151052474975586, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.1069643497467041, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.11541247367858887, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.11722874641418457, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.12257575988769531, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.12717103958129883, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.13218975067138672, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.1489269733428955, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.14962363243103027, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.1516878604888916, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.15652012825012207, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.16150641441345215, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.16652321815490723, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.17150044441223145, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.176560640335083, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.18178081512451172, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.19056916236877441, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.1937875747680664, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.19921016693115234, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.2017500400543213, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.2083139419555664, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.21143078804016113, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.21629595756530762, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
0, 0, 0.22143983840942383, 0.6759999990463257 0.6660000085830688 0.6499999761581421 0.6480000019073486 0.6679999828338623 0.6980000138282776
